Time_Segment,Holiday,Weekend Return,VVM10,Season,Exceeds Threshold
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,Yes,No,Medium,Spring,0
6-10,Yes,No,Medium,Spring,0
10-14,Yes,No,Medium,Spring,1
14-18,Yes,No,Medium,Spring,1
18-22,Yes,No,Medium,Spring,1
22-2,Yes,No,Medium,Spring,1
2-6,Yes,Yes,Medium,Spring,0
6-10,Yes,Yes,Medium,Spring,0
10-14,Yes,Yes,Medium,Spring,0
14-18,Yes,Yes,Medium,Spring,1
18-22,Yes,Yes,Medium,Spring,1
22-2,Yes,Yes,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,0
10-14,No,No,Medium,Spring,1
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,1
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Spring,0
6-10,No,No,Medium,Spring,1
10-14,No,No,Medium,Spring,0
14-18,No,No,Medium,Spring,1
18-22,No,No,Medium,Spring,0
22-2,No,No,Medium,Spring,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,0
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,0
10-14,Yes,No,Medium,Summer,0
14-18,Yes,No,Medium,Summer,1
18-22,Yes,No,Medium,Summer,1
22-2,Yes,No,Medium,Summer,0
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,0
14-18,Yes,Yes,Medium,Summer,1
18-22,Yes,Yes,Medium,Summer,0
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,0
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,0
10-14,Yes,No,Medium,Summer,1
14-18,Yes,No,Medium,Summer,0
18-22,Yes,No,Medium,Summer,0
22-2,Yes,No,Medium,Summer,0
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,1
14-18,Yes,Yes,Medium,Summer,1
18-22,Yes,Yes,Medium,Summer,1
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,Yes,No,High,Summer,0
6-10,Yes,No,High,Summer,0
10-14,Yes,No,High,Summer,0
14-18,Yes,No,High,Summer,1
18-22,Yes,No,High,Summer,1
22-2,Yes,No,High,Summer,0
2-6,Yes,Yes,High,Summer,0
6-10,Yes,Yes,High,Summer,0
10-14,Yes,Yes,High,Summer,0
14-18,Yes,Yes,High,Summer,1
18-22,Yes,Yes,High,Summer,0
22-2,Yes,Yes,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,0
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,0
10-14,Yes,No,Medium,Summer,0
14-18,Yes,No,Medium,Summer,0
18-22,Yes,No,Medium,Summer,0
22-2,Yes,No,Medium,Summer,0
2-6,Yes,Yes,High,Summer,0
6-10,Yes,Yes,High,Summer,0
10-14,Yes,Yes,High,Summer,0
14-18,Yes,Yes,High,Summer,0
18-22,Yes,Yes,High,Summer,0
22-2,Yes,Yes,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,0
10-14,Yes,No,Medium,Summer,1
14-18,Yes,No,Medium,Summer,1
18-22,Yes,No,Medium,Summer,1
22-2,Yes,No,Medium,Summer,1
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,0
14-18,Yes,Yes,Medium,Summer,1
18-22,Yes,Yes,Medium,Summer,0
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,0
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,0
10-14,Yes,No,Medium,Summer,1
14-18,Yes,No,Medium,Summer,0
18-22,Yes,No,Medium,Summer,1
22-2,Yes,No,Medium,Summer,1
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,1
14-18,Yes,Yes,Medium,Summer,0
18-22,Yes,Yes,Medium,Summer,1
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,1
10-14,Yes,No,Medium,Summer,1
14-18,Yes,No,Medium,Summer,0
18-22,Yes,No,Medium,Summer,1
22-2,Yes,No,Medium,Summer,1
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,0
14-18,Yes,Yes,Medium,Summer,1
18-22,Yes,Yes,Medium,Summer,1
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,Yes,No,High,Summer,0
6-10,Yes,No,High,Summer,0
10-14,Yes,No,High,Summer,1
14-18,Yes,No,High,Summer,0
18-22,Yes,No,High,Summer,1
22-2,Yes,No,High,Summer,0
2-6,Yes,Yes,High,Summer,0
6-10,Yes,Yes,High,Summer,0
10-14,Yes,Yes,High,Summer,0
14-18,Yes,Yes,High,Summer,1
18-22,Yes,Yes,High,Summer,0
22-2,Yes,Yes,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,0
22-2,No,No,Medium,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,Yes,No,High,Summer,0
6-10,Yes,No,High,Summer,0
10-14,Yes,No,High,Summer,0
14-18,Yes,No,High,Summer,0
18-22,Yes,No,High,Summer,1
22-2,Yes,No,High,Summer,1
2-6,Yes,Yes,High,Summer,0
6-10,Yes,Yes,High,Summer,0
10-14,Yes,Yes,High,Summer,0
14-18,Yes,Yes,High,Summer,1
18-22,Yes,Yes,High,Summer,1
22-2,Yes,Yes,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,0
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,0
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,1
10-14,Yes,No,Medium,Summer,0
14-18,Yes,No,Medium,Summer,1
18-22,Yes,No,Medium,Summer,0
22-2,Yes,No,Medium,Summer,0
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,0
14-18,Yes,Yes,Medium,Summer,1
18-22,Yes,Yes,Medium,Summer,0
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,0
22-2,No,No,Medium,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,0
22-2,No,No,Medium,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,Yes,No,Medium,Summer,0
6-10,Yes,No,Medium,Summer,0
10-14,Yes,No,Medium,Summer,1
14-18,Yes,No,Medium,Summer,0
18-22,Yes,No,Medium,Summer,0
22-2,Yes,No,Medium,Summer,0
2-6,Yes,Yes,High,Summer,0
6-10,Yes,Yes,High,Summer,0
10-14,Yes,Yes,High,Summer,0
14-18,Yes,Yes,High,Summer,0
18-22,Yes,Yes,High,Summer,0
22-2,Yes,Yes,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,0
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,0
22-2,No,No,Medium,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,Yes,No,High,Summer,0
6-10,Yes,No,High,Summer,0
10-14,Yes,No,High,Summer,0
14-18,Yes,No,High,Summer,0
18-22,Yes,No,High,Summer,0
22-2,Yes,No,High,Summer,0
2-6,Yes,Yes,Medium,Summer,0
6-10,Yes,Yes,Medium,Summer,0
10-14,Yes,Yes,Medium,Summer,0
14-18,Yes,Yes,Medium,Summer,1
18-22,Yes,Yes,Medium,Summer,0
22-2,Yes,Yes,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,0
18-22,No,No,Medium,Summer,0
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,1
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,1
10-14,No,No,Medium,Summer,1
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,0
22-2,No,No,Medium,Summer,0
2-6,Yes,No,High,Summer,0
6-10,Yes,No,High,Summer,0
10-14,Yes,No,High,Summer,1
14-18,Yes,No,High,Summer,1
18-22,Yes,No,High,Summer,1
22-2,Yes,No,High,Summer,0
2-6,Yes,Yes,High,Summer,0
6-10,Yes,Yes,High,Summer,0
10-14,Yes,Yes,High,Summer,1
14-18,Yes,Yes,High,Summer,1
18-22,Yes,Yes,High,Summer,1
22-2,Yes,Yes,High,Summer,1
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,1
10-14,No,No,High,Summer,0
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,1
22-2,No,No,High,Summer,0
2-6,No,No,High,Summer,0
6-10,No,No,High,Summer,0
10-14,No,No,High,Summer,1
14-18,No,No,High,Summer,1
18-22,No,No,High,Summer,0
22-2,No,No,High,Summer,0
2-6,No,No,Medium,Summer,0
6-10,No,No,Medium,Summer,0
10-14,No,No,Medium,Summer,0
14-18,No,No,Medium,Summer,1
18-22,No,No,Medium,Summer,1
22-2,No,No,Medium,Summer,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,0
18-22,No,No,Medium,Autumn,0
22-2,No,No,Medium,Autumn,1
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,0
2-6,Yes,No,High,Autumn,0
6-10,Yes,No,High,Autumn,0
10-14,Yes,No,High,Autumn,1
14-18,Yes,No,High,Autumn,1
18-22,Yes,No,High,Autumn,0
22-2,Yes,No,High,Autumn,0
2-6,Yes,Yes,Medium,Autumn,0
6-10,Yes,Yes,Medium,Autumn,0
10-14,Yes,Yes,Medium,Autumn,0
14-18,Yes,Yes,Medium,Autumn,0
18-22,Yes,Yes,Medium,Autumn,0
22-2,Yes,Yes,Medium,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,0
22-2,No,No,Medium,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,1
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,1
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,0
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,1
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,0
22-2,No,No,High,Autumn,0
2-6,Yes,No,Medium,Autumn,0
6-10,Yes,No,Medium,Autumn,0
10-14,Yes,No,Medium,Autumn,1
14-18,Yes,No,Medium,Autumn,1
18-22,Yes,No,Medium,Autumn,0
22-2,Yes,No,Medium,Autumn,1
2-6,Yes,Yes,Medium,Autumn,0
6-10,Yes,Yes,Medium,Autumn,0
10-14,Yes,Yes,Medium,Autumn,0
14-18,Yes,Yes,Medium,Autumn,0
18-22,Yes,Yes,Medium,Autumn,1
22-2,Yes,Yes,Medium,Autumn,1
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,0
22-2,No,No,Medium,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,1
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,0
22-2,No,No,Medium,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,0
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,1
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,1
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,1
2-6,Yes,No,Medium,Autumn,0
6-10,Yes,No,Medium,Autumn,0
10-14,Yes,No,Medium,Autumn,0
14-18,Yes,No,Medium,Autumn,1
18-22,Yes,No,Medium,Autumn,0
22-2,Yes,No,Medium,Autumn,0
2-6,Yes,Yes,Medium,Autumn,0
6-10,Yes,Yes,Medium,Autumn,0
10-14,Yes,Yes,Medium,Autumn,1
14-18,Yes,Yes,Medium,Autumn,0
18-22,Yes,Yes,Medium,Autumn,0
22-2,Yes,Yes,Medium,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,1
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,0
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,1
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,1
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,Medium,Autumn,0
6-10,No,No,Medium,Autumn,1
10-14,No,No,Medium,Autumn,1
14-18,No,No,Medium,Autumn,1
18-22,No,No,Medium,Autumn,1
22-2,No,No,Medium,Autumn,0
2-6,Yes,No,High,Autumn,0
6-10,Yes,No,High,Autumn,0
10-14,Yes,No,High,Autumn,0
14-18,Yes,No,High,Autumn,0
18-22,Yes,No,High,Autumn,0
22-2,Yes,No,High,Autumn,0
2-6,Yes,Yes,Medium,Autumn,0
6-10,Yes,Yes,Medium,Autumn,0
10-14,Yes,Yes,Medium,Autumn,0
14-18,Yes,Yes,Medium,Autumn,0
18-22,Yes,Yes,Medium,Autumn,0
22-2,Yes,Yes,Medium,Autumn,1
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,0
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,0
22-2,No,No,High,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,1
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,1
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,1
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,0
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,0
2-6,No,No,High,Autumn,0
6-10,No,No,High,Autumn,0
10-14,No,No,High,Autumn,1
14-18,No,No,High,Autumn,1
18-22,No,No,High,Autumn,1
22-2,No,No,High,Autumn,1
2-6,Yes,No,High,Autumn,0
6-10,Yes,No,High,Autumn,0
10-14,Yes,No,High,Autumn,0
14-18,Yes,No,High,Autumn,1
18-22,Yes,No,High,Autumn,0
22-2,Yes,No,High,Autumn,0
2-6,Yes,Yes,High,Autumn,0
6-10,Yes,Yes,High,Autumn,0
10-14,Yes,Yes,High,Autumn,1
14-18,Yes,Yes,High,Autumn,0
